# fen	move_played	grade	source
W:W26,33,35,36,37,39,40,41,45,48:BK49,3,4,6,8,9,11,22	35-30	!	deel22:p127
W:W23,25,29,32,33,34,36,38,39,42,43,44,48:B2,3,4,6,8,9,10,13,14,15,16,17,26	33-28	?	deel22:p127
B:W23,25,28,29,32,34,36,38,39,42,43,44,48:B2,3,4,6,8,9,10,13,14,15,16,17,26	26-31	!	deel22:p127
B:W24,25,30,34,35,36,37,38,39,40,41,43,48:B3,8,9,12,13,14,15,16,19,21,26,27,28	28-32	?	deel22:p128
B:W25,28,31,32,33,35,36,38,42,43,48,49:B2,6,7,8,10,12,13,14,19,20,23,24	6-11	?	deel22:p128
W:W25,32,33,35,36,37,38,39,40,41,42,45,48:B3,4,8,9,10,13,14,17,18,19,21,23,24,26	37-31	?	deel22:p128
W:W25,31,33,34,35,37,38,39,41,42,44,45,46,48:B2,4,6,7,8,10,11,13,14,16,18,20,21,24,26	34-30	?	deel22:p129
B:W28,31,33,35,37,38,39,40,42,43,45,46,48:B1,2,3,7,8,13,14,15,18,19,24,25,26	18-23	?	deel22:p129
W:W10,27,28,34,35,36,38,39,42,43,44,45:BK46,3,4,6,7,8,9,11,15,16,25	38-32	?	deel22:p129
W:W25,28,33,34,36,37,38,39,40,42,43,48:B3,8,9,10,11,12,13,14,18,21,24,26	34-29	?	deel22:p129
B:W25,28,29,33,36,37,38,39,40,42,43,48:B3,8,9,10,11,12,13,14,18,21,24,26	14-20	!	deel22:p129
B:W25,31,35,37,43:B10,13,21,22,29	21-27	?	deel22:p129
W:W25,31,35,37,43:B10,13,22,27,29	35-30	!	deel22:p129
B:W25,26,31,32,34,35,36,37,38,40,42,43,45,47,48:B2,3,6,8,9,10,11,12,13,15,16,17,18,23,29	15-20	!	deel22:p129
W:W25,29,31,33,34,37,38,39,40,43,46,47,49:B7,9,10,12,13,15,16,18,19,22,23,27,28	29-24	!	deel22:p135
W:W25,29,34,38,39,40,43,46,49:BK47,7,9,10,12,13,15,16,18,22,23,30,37	29-24	!	deel22:p135
B:W22,27,28,31,32,35,41,42,44,47,48:B9,10,12,14,16,19,20,21,24,29,36	21-26	?	deel22:p136
B:W29,30,32,35,41,47:B10,15,19,20,31	31-37	?	deel22:p136
W:W15,24,29,31,38,39,41:B7,12,14,17,18,20,26	29-23	!	deel22:p136
W:W27,28,31,32,33,35,36,38,40,41,43:B3,6,11,12,16,17,18,19,24,26,29	27-21	!	deel22:p136
B:W21,25,27,31,32,33,35,38,39,43:B10,11,12,14,16,18,19,20,23,24	11-17	?	deel22:p137
W:WK2,35:B6,11,17,19,21,23,25,30,44	2x12	!!	deel22:p138
W:W31,33,37,40,41,44,49,50:B9,10,11,12,18,19,21,22,24,26,28,32,35	50-45	!	deel22:p138
W:W22,27,28,32,33,38,41,43,44,45:B7,8,9,13,16,18,19,20,26,30	27-21	!	deel22:p139
B:W25,26,27,31,32,33,35,36,39,40,42,43,44,45:B3,6,7,9,10,14,15,16,17,18,19,22,23,24	7-12	?	deel22:p140
B:W25,26,27,31,32,33,35,36,39,40,42,43,44,45:B3,6,7,9,10,14,15,16,17,18,19,22,23,24	14-20	!	deel22:p140
B:W13,28,36,39,45:B17,25,27,37	27-31	!	deel22:p146
W:W25,33,34,35,38,39,43,44:BK47,K48,2,4,7,8,9,13,14,15,18,23,24	33-29	!	deel22:p151
B:W25,28,32,33,34,37,38,39,40,42,43,44,47:B2,4,7,8,9,13,14,15,18,21,24,26,31	18-23	!	deel22:p151
W:WK16,6,27,49:B1,14,26,29,30	16-11	!	deel22:p154
W:W23,26,28,29,30,33,34,36,38,39,40,41,45,49:B2,3,6,8,12,13,14,15,16,17,20,21,22,25	36-31	?	deel22:p158
W:W23,24,26,28,29,33,34,36,38,39,40,41,42,45:B2,3,8,10,12,13,14,15,16,17,20,21,22,25	36-31	?	deel22:p158
B:W23,24,26,28,29,31,33,34,38,39,40,41,42,45:B2,3,8,10,12,13,14,15,16,17,20,21,22,25	12-18	!	deel22:p158
B:W18,24,33,34,40,41,42,45,48:B2,3,10,15,20,25	20x36	!	deel22:p158
B:WK3,K4,9,26,28,31,33,34,38,39,40,41,42,45:B2,10,15,16,17,21,22,25	25-30	?	deel22:p159
W:W31,33,34,36,37,38,45:B11,12,18,21,22,25,26	34-29	?	deel22:p161
W:W10,23,27,36,45:B16,21,25,26	27-22	!	deel22:p162
W:W15,19,27,45:B16,35,36	27-21	!	deel22:p163
W:W15,19,45:B27,35,36	19-13	!!	deel22:p163
W:WK5,15,27,45:BK47,16,35	5-32	?	deel22:p163
B:WK32,15,27,45:BK47,16,35	35-40	!	deel22:p163
B:WK32,15,27,34:BK47,16	47-36	!	deel22:p163
B:W24,25,29,31,33,36,37,39,42,45:B3,6,8,9,12,13,14,15,16,26	6-11	?	deel22:p164
W:W24,25,29,31,33,36,37,39,42,45:B3,8,9,11,12,13,14,15,16,26	24-20	!	deel22:p164
W:W15,25,31,33,36,37,39,42,45:B3,8,9,11,13,14,18,21,26	33-28	!	deel22:p164
W:W15,25,28,36,37,39,42,45:B3,8,9,11,13,14,26,27	42-38	!	deel22:p164
W:W25,28,31,33,35,36,37,38,39,40,41,42,43,45,46,48:B2,3,4,7,8,12,13,14,15,16,18,19,20,21,24,26	40-34	?	deel22:p167
B:W25,28,31,33,34,35,36,37,38,40,41,42,43,45,46,48:B2,3,4,7,8,12,13,14,15,16,18,19,20,21,24,26	18-22	?	deel22:p167
B:W22,28,32,33,34,35,36,38,41,42,43,46,48:B2,3,4,8,11,12,13,16,19,20,21,24,26	19-23	?	deel22:p168
B:W22,28,32,33,34,35,36,38,41,42,43,46,48:B2,3,4,8,11,12,13,16,19,20,21,24,26	12-18	?	deel22:p168
B:W22,28,32,33,34,35,36,38,41,42,43,46,48:B2,3,4,8,11,12,13,16,19,20,21,24,26	12-17	?	deel22:p168
B:W28,29,32,33,35,36,37,38,42,43,46,48:B2,3,4,7,8,12,18,19,20,21,24,26	21-27	?	deel22:p168
W:W28,32,33,35,36,38,42,43,46,48:B2,3,4,7,8,19,20,21,23,24,37	42x31	?	deel22:p170
B:W28,31,32,33,35,36,38,43,46,48:B2,3,4,7,8,19,20,21,23,24	21-26	!	deel22:p170
B:W28,31,32,33,35,37,38,41,42,43,48:B2,3,4,8,11,19,20,21,23,24,26	20-25	?	deel22:p170
B:W27,28,31,32,33,36,38,44,48:B2,4,8,13,16,19,21,24,25	8-12	!	deel22:p172
W:W26,27,28,32,33,36,38,44,48:B2,4,13,16,17,19,21,24,25	27-22	?	deel22:p172
W:W22,28,32,33,36,37,38,42,44,48:B2,4,12,13,16,19,21,24,25,26	33-29	?	deel22:p172
B:W22,32,36,37,38,39,42,44,48:B2,4,12,13,16,19,21,25,26	19-23	!	deel22:p172
B:W28,31,33,36,38,42,44,48:B2,4,13,16,19,21,24,25,27	24-30	!	deel22:p173
W:W22,28,33,36,38,42,44,48:B2,4,13,16,19,21,25,34	38-32	?	deel22:p173
B:W22,28,32,33,36,42,44,48:B2,4,13,16,19,21,25,34	34-39	!	deel22:p173
W:W26,31,33,38,42,43,44:B2,4,16,24,34,35	33-29	!	deel22:p173
W:W12,13,26,42:BK27,2,4,16	12-8	?	deel22:p173
B:W22,28,32,33,36,37,38,40,42,48:B2,4,12,13,16,19,21,24,25,26	24-29	?	deel22:p173
W:W22,28,32,35,36,37,38,42,48:B2,4,12,13,16,21,25,26,34	22-18	!	deel22:p173
B:W28,31,33,36,38,42,44,48:B2,4,13,16,19,21,25,27,30	19-24	!	deel22:p173
B:W22,28,33,36,38,42,44,48:B2,4,13,16,21,24,25,30	24-29	!	deel22:p173
B:W22,28,33,36,38,41,42,44,48:B2,4,12,13,16,19,21,25,30	12-18	!	deel22:p174
B:WK1,33,38:BK50,2,19,27	50x22	!	deel22:p176
B:W22,28,33,36,37,38,44:B2,13,16,19,21,29,30	19-24	?	deel22:p176
B:W22,28,33,36,38,42,44,48:B2,4,13,16,19,21,25,34	34-39	?	deel22:p176
B:W22,28,32,33,36,38,44:B2,13,16,19,21,30,34	21-26	!	deel22:p177
B:W22,28,32,33,36,49:B2,13,16,19,26,30	30-34	!	deel22:p177
B:W22,28,32,33,36,38,44:B2,13,16,19,21,30,34	21-27	!	deel22:p177
W:W23,26,32,36,38:BK49,2,13,16,35	23-18	!	deel22:p177
B:W23,27,31,33,36,39:BK50,2,13,16,35	13-18	!	deel22:p178
W:W20,27,30,47:BK49,9,17,36	20-14	?	deel22:p180
B:W25,28,31,32,34,35,37,38,40,41,42,43,45,47,48,49:B2,3,4,6,8,9,12,13,14,15,17,18,19,23,24,26	17-21	?!	deel23:p14
W:W25,28,31,32,34,35,37,38,40,41,42,43,45,47,48,49:B2,3,4,6,8,9,12,13,14,15,18,19,21,23,24,26	31-27	?	deel23:p14
B:W25,27,28,32,34,35,37,38,40,41,42,43,45,47,48,49:B2,3,4,6,8,9,12,13,14,15,18,19,21,23,24,26	26-31	!	deel23:p14
W:W22,25,27,32,36,37,38,42,43,44,49:B3,6,8,9,10,13,14,16,18,19,26,34,35	43-39	!	deel23:p14
B:W27,30,32,33,35,37,38,42,43,44,45,46,48:B2,3,4,5,7,12,16,18,19,20,21,23,24	5-10	?!	deel23:p14
W:W28,32,33,34,35,37,40,41,43,45,47,48,50:B2,3,6,8,9,11,13,14,15,16,18,19,23,26	35-30	?	deel23:p14
B:W18,25,28,31,32,33,35,37,39,43:B8,10,11,14,15,16,17,19,24,26	17-21	?	deel23:p15
W:W16,26,32,33,34,35,37,39,40,42,43,44,45,48:B2,6,7,9,12,13,14,15,17,18,19,22,23,25	33-28	?	deel23:p15
B:W16,26,28,32,34,35,37,40,42,43,44,45,48:B2,6,7,9,12,13,14,15,17,18,19,23,25	15-20	!	deel23:p15
B:W27,28,31,32,33,34,35,36,37,38,39,40,43,45:B3,5,6,8,11,12,13,15,16,18,19,20,23,24	5-10	?	deel23:p15
W:W27,28,31,32,33,34,35,36,37,38,39,40,43,45:B3,6,8,10,11,12,13,15,16,18,19,20,23,24	27-22	!	deel23:p15
B:W27,28,32,34,35,37,38,40,42,43,45,47,48,49,50:B2,3,5,7,8,9,13,15,16,18,19,20,21,23,26	5-10	?	deel23:p16
B:W25,26,28,29,32,33,36,37,38,39,43,44,47,48,49,50:B2,3,4,6,7,8,9,11,12,13,14,16,18,19,21,35	4-10	?	deel23:p16
B:W26,34,35,36,37,38,40,41,45,47:B2,6,7,13,17,18,19,24,27	17-22	?	deel23:p16
B:W27,28,32,33,35,37,38,42,43,44,45,48:B2,3,6,7,9,12,13,15,19,23,24,26	3-8	?	deel23:p16
B:W27,28,32,33,35,37,38,42,43,44,45,48:B2,3,6,7,9,12,13,15,19,23,24,26	12-18	?	deel23:p17
B:W25,27,32,33,34,36,37,38,40,42,45,46,47,48,49:B1,2,7,8,10,12,13,14,15,16,17,18,21,23,26	13-19	?	deel23:p17
W:W25,27,32,33,34,36,37,38,40,42,45,46,47,48,49:B1,2,7,8,10,12,14,15,16,17,18,19,21,23,26	25-20	!	deel23:p17
W:W16,25,26,33,34,37:B7,23,24,27	25-20	!	deel23:p17
W:W16,26,33,34,37:B7,15,23,27	26-21	!	deel23:p17
W:W16,26,29,33,34,35,37,38,39,40,41,42,43,44,45,48,49,50:B2,4,5,6,7,8,9,11,12,13,14,15,17,18,19,20,23,24	38-32	?	deel23:p17
B:W25,27,28,32,34,35,36,37,39:B4,13,16,17,18,19,23,24,26	4-10	?!	deel23:p18
W:W25,27,28,32,34,35,36,37,39:B10,13,16,17,18,19,23,24,26	25-20	?	deel23:p18
B:W27,28,30,32,35,36,37,38,39,40,42,43,45,47,48,49:B2,3,4,6,8,9,10,11,12,13,15,16,18,19,23,26	15-20	?	deel23:p18
B:W27,28,30,32,35,36,37,38,39,40,42,43,45,47,48,49:B2,3,4,6,8,9,10,11,12,13,15,16,18,19,23,26	12-17	?	deel23:p18
W:WK5,30,35,36,38,39,40,42,43,45,47,48,49:BK46,2,3,4,6,8,9,11,13,15,26	40-34	!	deel23:p18
W:W25,28,31,32,38,39,40,42,45:B1,6,8,14,18,19,20,21,23	31-27	?	deel23:p18
B:W25,27,28,32,38,39,40,42,45:B1,6,8,14,18,19,20,21,23	20-24	!	deel23:p18
B:W21,23,29,34,36,39,40,44:B4,9,12,13,25,30,32	32-38	?	deel23:p18
W:W21,23,29,34,36,39,40,44:B4,9,12,13,25,30,38	21-17	!	deel23:p18
W:W27,28,30,31,32,33,35,36,37,38,40,42,43,44,45,48,50:B2,3,6,7,9,10,11,12,13,15,16,18,19,20,23,24,26	27-22	!	deel23:p18
B:W25,27,28,30,32,34,35,36,37,38,41,42,43,48:B1,3,6,7,8,9,13,14,16,18,19,21,23,26	26-31	?	deel23:p18
W:W21,25,26,27,28,32,38,39,40,44,45,48:B2,8,12,13,14,15,16,17,18,19,23,24	39-33	?	deel23:p18
B:W21,25,26,27,28,32,33,38,40,44,45,48:B2,8,12,13,14,15,16,17,18,19,23,24	17-22	!	deel23:p18
W:W25,26,28,30,31,33,34,35,36,38,42,43,44,47,48,49,50:B2,3,6,8,9,10,12,13,14,15,16,17,19,22,23,24,27	44-40	!	deel23:p19
W:W26,29,30,31,33,34,35,36,37,39,41,42,43,44,47,49,50:B2,4,5,6,7,8,11,12,13,15,17,18,19,20,22,23,27	30-25	?	deel23:p19
B:W25,26,29,31,33,34,35,36,37,39,41,42,43,44,47,49,50:B2,4,5,6,7,8,11,12,13,15,17,18,19,20,22,23,27	4-10	!	deel23:p19
B:W22,25,28,32,33,34,36,37,38,39,40,43,44,45,47,48,49:B2,3,4,6,7,8,9,10,11,12,14,15,16,19,21,23,24	12-17	?	deel23:p19
B:W22,25,28,32,33,34,36,37,38,39,40,43,44,45,47,48,49:B2,3,4,6,7,8,9,10,11,12,14,15,16,19,21,23,24	21-26	?	deel23:p19
B:W22,25,28,32,33,34,36,37,38,39,40,43,44,45,47,48,49:B2,3,4,6,7,8,9,10,11,12,14,15,16,19,21,23,24	12-18	?	deel23:p19
B:W22,25,28,32,33,34,36,37,38,39,40,43,44,45,47,48,49:B2,3,4,6,7,8,9,10,11,12,14,15,16,19,21,23,24	11-17	?	deel23:p19
B:W27,28,32,34,35,37,38,40,45:B8,13,16,18,19,23,24,25,26	24-30	?	deel23:p19
B:W27,28,32,34,35,37,38,40,45:B8,13,16,18,19,23,24,25,26	24-29	?	deel23:p19
B:W27,28,32,33,34,40,41,43,44,45,48,49:B5,7,8,9,13,14,16,18,19,21,23,25	21-26	?	deel23:p20
B:WK3,40,41,42,43,44,45,49:B5,7,9,13,14,19,25,26,32	32-37	!	deel23:p20
B:W26,27,31,32,33,34,35,36,37,38,39,40,43,44,45,49:B3,6,7,8,9,11,13,14,15,16,17,18,19,21,23,25	14-20	?	deel23:p20
W:W25,27,32,33,34,37,38,39,42,44,45,47,48,49:B3,4,6,7,8,9,11,13,16,17,18,21,30,35	25-20	?	deel23:p20
W:W25,27,28,30,31,32,33,35,36,37,38,40,42,43,46,48:B2,3,6,8,9,10,11,13,14,16,17,19,23,24,26,29	40-34	!	deel23:p20
B:W24,29,34,36,37,38,39,40,42,45,49:B2,8,9,12,13,15,17,20,22,25,28	22-27	?	deel23:p21
W:W34,36,39,40,43,45:BK29,2,8,9,12,15,19,20,22,24,25	34x3	!	deel23:p21
W:W15,23,24,26,29,30,33,34,36,37,39,40,49:B4,9,11,12,13,14,17,18,20,22,25,27	37-32	?	deel23:p21
B:W27,32,33,34,35,37,38,40,42,43,45,48:B2,3,4,7,8,9,12,14,18,23,25,26	12-17	?	deel23:p21
W:W25,26,27,28,32,33,35,36,37,38,39,40,41,42,43,45,48,50:B3,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,23,24	35-30	!	deel23:p21
B:W27,28,30,31,32,33,35,36,37,38,40,42,43,44,45,48,50:B2,3,6,7,9,10,11,12,13,15,16,18,19,20,23,24,26	20-25	?	deel23:p21
W:W15,22,25,27,32,33,37,38,41,42,43,45,49:B2,3,4,7,12,13,14,16,18,19,21,24,26	22-17	?	deel23:p22
B:W27,28,31,34,35,37,38,41,43,45,49:B2,6,7,9,11,13,15,16,18,19,26	11-17	?	deel23:p22
W:W16,25,28,31,32,33,35,36,38,40,41,42,43,44,45,48,49:B2,3,6,7,8,9,11,12,13,14,15,17,19,20,22,24,29	31-27	?	deel23:p22
B:W16,25,27,28,32,33,35,38,40,41,42,43,44,45,48,49:B2,3,6,7,8,9,11,12,13,14,15,17,19,20,24,29	24-30	!	deel23:p22
W:W28,29,32,33,34,35,37,38,40,41,43,44,45,47,48:B1,2,3,8,9,12,13,14,15,16,18,20,24,25,26	28-23	?	deel23:p22
W:W25,29,30,33,35,36,37,38,43,48:B3,8,9,11,13,14,15,18,22,27	37-31	!	deel23:p24
W:W25,29,30,31,33,35,36,38,43,48:B3,8,9,13,14,15,16,18,22,27	48-42	!	deel23:p24
B:W25,26,27,29,31,32,36,37,38,39,42,43,44,45,49:B3,6,7,8,9,11,12,13,14,15,16,17,18,19,22	19-23	?	deel23:p25
B:W27,32,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50:B1,2,3,4,6,7,8,9,10,11,12,13,15,16,18,20,21,23	10-14	?	deel23:p25
W:W39,42,43,45,46,47,48,49,50:B1,2,6,7,9,10,11,15,16,18,28,38	42x4	!	deel23:p26
B:W26,28,31,32,35,43,45:B13,16,17,24,25,29,34	34-40	!?	deel23:p26
B:W26,27,28,31,35,43,45:B16,17,18,24,25,29,34	17-22	!	deel23:p27
W:W26,28,31:BK49,24,34	28-23	!	deel23:p27
B:W27,28,32,33,34,35,36,37,38,39,40,42,43,45,47,48,50:B1,3,5,8,9,11,12,13,15,16,18,19,21,23,24,25,26	1-6	?	deel23:p28
B:W27,28,32,33,34,35,36,37,38,39,40,42,43,45,47,48,50:B1,3,5,8,9,11,12,13,15,16,18,19,21,23,24,25,26	11-17	?	deel23:p28
B:W27,28,32,33,34,35,36,37,38,39,40,42,43,45,47,48,50:B1,3,5,8,9,11,12,13,15,16,18,19,21,23,24,25,26	24-30	?	deel23:p28
B:W27,28,32,33,34,35,36,37,38,39,40,42,43,45,47,48,50:B1,3,5,8,9,11,12,13,15,16,18,19,21,23,24,25,26	5-10	?	deel23:p28
B:W27,28,32,33,34,35,36,37,38,39,40,42,43,45,47,48,50:B1,3,5,8,9,11,12,13,15,16,18,19,21,23,24,25,26	1-7	?	deel23:p28
B:W25,28,31,32,33,34,35,36,38,39,42,43,44,45,46,47,48,49:B2,3,4,5,6,7,8,9,12,13,14,15,16,17,18,21,22,24	7-11	?	deel23:p29
W:W19,29,35,38,39,42,43,44,47,48,49:B1,2,7,8,9,10,15,16,18,22,28,36	47-41	!	deel23:p30
W:W19,29,33,35,39,43,44,48,49:BK38,1,2,7,8,9,10,15,16,18,22,28	43x5	!	deel23:p30
W:W24,25,29,37,39,42,47,48,49:B2,3,10,15,16,17,26,36	47-41	!	deel23:p31
W:W24,25,27,31,33,36,37,38,39:B6,9,10,14,15,16,18,22,26	25-20	!	deel23:p31
W:W27,28,30,32,33,34,35,36,37,38,42,43,45,47,48,50:B1,2,7,8,9,10,12,13,14,17,18,19,23,24,25,26	34-29	?	deel23:p32
W:W27,28,30,32,33,34,35,36,37,38,42,43,45,47,48,50:B1,2,7,8,9,10,12,13,14,17,18,19,23,24,25,26	50-44	?	deel23:p32
W:W27,28,32,33,35,36,37,38,41,42,43,44,45,48:B1,2,7,8,9,10,12,13,14,17,19,24,26,29,34	44-39	?	deel23:p32
B:W27,28,32,33,35,36,37,38,39,41,42,43,45,48:B1,2,7,8,9,10,12,13,14,17,19,24,26,29,34	34-40	!	deel23:p32
B:W27,28,31,32,33,35,36,38,39,42,45,50:B1,2,7,8,9,10,12,13,14,17,19,24,29	7-11	!	deel23:p32
W:W27,28,31,32,33,35,36,38,39,42,45,50:B1,2,8,9,10,11,12,13,14,17,19,24,29	42-37	?	deel23:p32
B:W24,27,28,31,32,35,36,37,38,39,45,50:B1,2,8,9,10,11,12,13,14,17,19,30	17-21	!	deel23:p32
W:W23,24,27,28,29,31,40:B12,13,14,15,17,18,25	31-26	?	deel23:p32
B:W23,24,26,27,28,29,40:B12,13,14,15,17,18,25	25-30	!	deel23:p32
B:W23,26,27,28,29,35,40:B12,13,14,15,17,18	18-22	!	deel23:p32
W:W16,21,24,28,29,31,34:B13,15,19,25	24-20	!	deel23:p32
B:W25,27,28,30,32,33,35,38,39,40,45:B3,6,9,12,14,15,18,19,23,24,26	9-13	?	deel23:p33
W:W25,27,28,30,32,33,35,38,39,40,45:B3,9,11,12,14,15,18,19,23,24,26	27-21	!	deel23:p33
W:W25,27,28,30,32,33,35,38,39,40,45:B3,6,9,12,14,15,18,19,24,26,29	40-34	!	deel23:p33
B:W10,21,26,31,35,36,42:B6,7,8,11,12,17,18,19,25	19-23	!!	deel23:p34
W:W10,21,26,31,35,36,42:B6,7,8,11,12,17,18,23,25	10-4	?	deel23:p34
B:WK4,21,26,31,35,36,42:B6,7,8,11,12,17,18,23,25	18-22	!	deel23:p34
B:WK4,21,26,31,35,36,38:B6,7,8,11,12,17,18,25,29	18-22	!	deel23:p34
B:W27,28,29,31,35,37,38,41,43,45,49:B2,6,7,9,11,13,15,16,18,19,26	18-23	?	deel23:p35
B:W25,28,29,30,32,33,35,36,37,38,39,40,42,43,45,48,49:B2,3,6,7,8,9,10,12,13,14,15,16,17,18,19,24,26	17-22	?	deel23:p35
W:W26,28,33,34,35,36,37,38,40,41,42,43,45,47,48,49,50:B2,3,4,5,6,7,8,11,12,14,15,17,18,19,22,25,27	34-29	?	deel23:p45
W:W16,25,26,34,35,37,38,39,42,48:B2,7,8,12,14,17,18,19,24,28	38-33	?	deel23:p45
B:W23,27,28,34,35,36,37,38,40,45,47,49,50:B1,2,3,5,6,8,10,13,15,17,20,24	24-29	?	deel23:p45
B:W25,26,33,34,36,37,39,40,41,42,43,44,45,47,48,49:B1,2,4,6,7,8,9,10,11,12,13,14,15,19,22,27	12-18	?	deel23:p46
B:W16,29,32,34,35,36,39,40,41,42,43,44,45,46,48,49:B2,3,4,6,7,8,9,12,13,14,15,18,19,20,22,23	12-17	?	deel23:p46
W:W25,26,34,37,38,42,45,47:B4,6,11,13,14,16,24,28	34-29	?	deel23:p46
B:W22,28,32,34,36,38,43,44,45,49:B6,9,11,12,13,15,16,19,21,23	12-18	?	deel23:p46
B:W22,28,32,33,34,36,43,44,45,49:B6,9,11,12,13,16,19,20,21,23	12-18	?	deel23:p46
W:W25,33,36,37,38,42,43,44,45,47:B8,11,12,13,14,16,19,21,23,24	44-40	?	deel23:p46
W:W22,28,30,32,33,34,35,36,37,38,39,42,43,46,48,49,50:B2,3,4,5,6,7,8,9,11,13,15,16,17,19,20,23,26	33-29	?	deel23:p46
B:W15,25,26,28,32,33,39,43,44,50:B4,9,11,12,13,14,17,21,22,45	11-16	?	deel23:p46
W:W27,28,32,33,34,37,38,39,40,44,45,47,48:B6,9,11,12,13,14,15,16,19,20,25,26,35	48-43	?	deel23:p46
B:W27,28,32,33,34,37,38,39,40,43,44,45,47:B6,9,11,12,13,14,15,16,19,20,25,26,35	19-23	!	deel23:p46
W:W10,33,36,40,44,46,48:B2,3,8,13,16,21,23,27,37	10-4	?	deel23:p47
B:W25,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,50:B2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,23	20-24	?	deel23:p47
W:W16,28,33,34,35,37,38,39,41,42,43,48:B6,7,8,9,10,12,13,14,17,18,19,20	34-30	?	deel23:p47
W:W16,28,33,34,35,37,38,39,41,42,43,48:B6,7,8,9,10,12,13,14,17,18,19,20	34-29	?	deel23:p47
B:W15,25,32,35,36,37,38,39,40,42,43,45,47,48,49,50:B2,3,4,5,6,8,9,10,11,12,13,14,16,19,26	19-23	?	deel23:p47
W:W25,30,31,35,37,41,43,48:B3,11,13,14,15,16,17,18	30-24	?	deel23:p47
W:W28,32,34,35,36,38,41,42,43,44,45,47,48,49,50:B2,3,4,5,6,7,8,11,13,14,16,18,19,21,23	44-39	?	deel23:p47
W:W16,32,34,35,45,48:BK47,7,10,33	32-28	!	deel23:p48
W:W27,32,35,37,40,45:B2,10,26,43	27-22	!	deel23:p48
B:W25,32,33,34,35,36,37,38,40,43,45,48,49:B1,3,5,10,11,13,14,15,19,21,22,27	1-6	?	deel23:p48
W:W17,28,30,32,35,38,40,43,44,45,49:B3,5,7,8,13,15,16,19,20,24,36	30-25	?	deel23:p48
B:W27,28,32,34,35,36,37,38,40,42,45:B2,4,6,12,13,15,16,18,21,24,25	15-20	?	deel23:p48
W:W29,32,33,34,35,36,38,40,42,44,45,47,48,49,50:B1,2,3,4,6,8,10,13,14,15,16,20,22,24,25	32-28	?	deel23:p48
B:W28,30,32,33,36,37,43,44,48,49:B7,9,11,12,13,15,17,19,20,23	20-24	?	deel23:p48
B:W28,30,32,33,36,37,43,44,48,49:B7,9,11,12,13,15,17,19,20,23	20-25	?	deel23:p48
W:W32,33,36,37,43,44,48,49:B3,7,9,11,15,17,25,30	44-40	!	deel23:p48
W:W25,27,28,30,31,32,33,35,36,37,38,40,42,43,45,48,49,50:B1,3,4,6,8,9,11,13,14,15,16,17,18,19,21,23,24,26	27-22	?	deel23:p49
B:W25,27,30,31,33,36,37,38,40,41,43,45,48:B7,8,9,10,11,12,14,15,16,17,18,22,23	23-28	?	deel23:p49
B:W24,26,29,35,40,42,43,47,48:B2,10,12,13,14,16,17,21,25	17-22	!	deel23:p49
B:W23,24,29,31,33,34,35,36,38,43,47,48:B2,3,4,10,11,12,13,15,17,18,22,25,27	10-14	?	deel23:p49
W:W26,27,30,31,32,34,36,38,39,40,45,47:B6,8,9,10,11,12,13,16,18,22,23,29	39-33	?	deel23:p49
B:W26,27,30,31,32,33,34,36,38,40,45,47:B6,8,9,10,11,12,13,16,18,22,23,29	16-21	!	deel23:p49
B:W26,28,29,31,32,33,34,35,37,38,39,40,41,42,43,47,50:B2,3,4,6,7,8,11,12,13,15,16,17,19,20,22,24,25	3-9	?	deel23:p49
W:W16,25,29,32,35,37,40,42,48:B2,4,6,8,14,15,18,22,26	35-30	?	deel23:p49
W:W26,29,33,35,36,37,38,39,42,43,44,45,48,49:B2,6,7,8,9,10,11,12,13,15,17,20,25,27	45-40	?	deel23:p49
B:W17,25,27,31,32,35,36,37,38,39,43,44,45:B2,6,7,8,9,14,15,16,19,23,24,26,29	7-11	?	deel23:p49
B:W17,25,27,31,32,35,36,37,38,39,43,44,45:B2,6,7,8,9,14,15,16,19,23,24,26,29	9-13	?	deel23:p49
W:W27,34,35,36,38,39,40,41,42,43,45,46,47,48:B2,3,4,6,7,8,11,12,13,16,18,19,22,23,25	38-33	?	deel23:p49
B:W26,27,31,32,35,36,38,39,40,42,43,45,48:B3,6,7,8,9,11,12,13,14,16,17,18,22	13-19	?	deel23:p50
B:W27,33,34,35,42,43,45,48:B6,7,8,11,12,14,16,24	8-13	?	deel23:p50
B:W22,33,34,35,42,43,45,48:B6,7,11,12,13,14,16,24	11-17	!	deel23:p50
B:W24,26,29,33,34,35,36,37,38,39,41,42,43,44,45,47,48,49:B2,4,5,6,7,8,9,10,11,12,13,15,16,17,18,22,23,25	10-14	?	deel23:p50
W:W20,30,36,37,38,42,43,48:B4,7,13,17,18,22,27,28	20-14	?	deel23:p50
B:W13,27,34,37,38,39,40,43,44,45:B1,3,10,11,14,15,16,24,25,35	14-19	?	deel23:p51
W:W26,29,32,33,34,35,39,40,41,42,43,47,48,49:B3,6,7,8,9,10,12,13,15,16,18,20,22,24	49-44	?	deel23:p51
W:W15,33,34,36,37,38,39,43,44,45,47:B4,6,8,9,12,13,14,18,25,26,27	37-32	?	deel23:p61
